CodDisciplina;NomeDisciplina;CodTurma;Turno;Campus;DiaAula;InicioAula;FimAula;SalaAula;FrequenciaAula;TipoAula;NomeProfessor;Por
BC0208;Fenomenos Mecanicos;B2;Diurno;Santo Andre;Quinta-feira;14:00;16:00;A-114-0;semanal;Teorica;Ana Melva Champi Farfan;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B2;Diurno;Santo Andre;Terca-feira;16:00;18:00;L705;quinzenal I;Pratica;Ana Melva Champi Farfan;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B2;Noturno;Santo Andre;Terca-feira;19:00;21:00;A-114-0;semanal;Teorica;Marcelo Augusto Leigui de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B2;Noturno;Santo Andre;Quinta-feira;19:00;21:00;A-114-0;semanal;Teorica;Marcelo Augusto Leigui de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B2;Noturno;Santo Andre;Terca-feira;21:00;23:00;L705;quinzenal I;Pratica;Marcelo Augusto Leigui de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B3;Diurno;Santo Andre;Terca-feira;14:00;16:00;A-114-0;semanal;Teorica;Ana Melva Champi Farfan;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B3;Diurno;Santo Andre;Quinta-feira;14:00;16:00;A-114-0;semanal;Teorica;Ana Melva Champi Farfan;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B3;Diurno;Santo Andre;Terca-feira;16:00;18:00;L705;quinzenal II;Pratica;Jose Javier Saez Acuna;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B3;Noturno;Santo Andre;Terca-feira;19:00;21:00;A-114-0;semanal;Teorica;Marcelo Augusto Leigui de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B3;Noturno;Santo Andre;Quinta-feira;19:00;21:00;A-114-0;semanal;Teorica;Marcelo Augusto Leigui de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B3;Noturno;Santo Andre;Terca-feira;21:00;23:00;L705;quinzenal II;Pratica;Jose Javier Saez Acuna;Bacharelado em Ciencia e Tecnologia
BC0205;Fenomenos Termicos;A1;Diurno;Santo Andre;Terca-feira;10:00;12:00;A-101-0;semanal;Teorica;Jose Kenichi Mizukoshi;Bacharelado em Ciencia e Tecnologia
BC0205;Fenomenos Termicos;A1;Diurno;Santo Andre;Quinta-feira;08:00;10:00;A-101-0;quinzenal II;Teorica;Jose Kenichi Mizukoshi;Bacharelado em Ciencia e Tecnologia
BC0205;Fenomenos Termicos;A1;Diurno;Santo Andre;Quinta-feira;10:00;12:00;L701;quinzenal I;Pratica;Jose Kenichi Mizukoshi;Bacharelado em Ciencia e Tecnologia
BC0205;Fenomenos Termicos;A1;Noturno;Santo Andre;Terca-feira;21:00;23:00;A-101-0;semanal;Teorica;Alex Gomes Dias;Bacharelado em Ciencia e Tecnologia
BC0205;Fenomenos Termicos;A1;Noturno;Santo Andre;Quinta-feira;19:00;21:00;A-101-0;quinzenal II;Teorica;Alex Gomes Dias;Bacharelado em Ciencia e Tecnologia
BC0205;Fenomenos Termicos;A1;Noturno;Santo Andre;Quinta-feira;21:00;23:00;L701;quinzenal I;Pratica;Alysson Fabio Ferrari;Bacharelado em Ciencia e Tecnologia
BC0205;Fenomenos Termicos;A2;Diurno;Santo Andre;Terca-feira;10:00;12:00;A-101-0;semanal;Teorica;Jose Kenichi Mizukoshi;Bacharelado em Ciencia e Tecnologia
